Date : 2024-01-11 19:15:29
Directory : c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app
Total : 152 files,  12805 codes, 3 comments, 579 blanks, all 13387 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| modules\lists\components\ListPreview\MoviePreviewSmall\MoviePreviewSmallSkeleton                                                                                                      |          1 |          4 |          0 |          2 |          6 |
| modules\lists\hooks                                                                                                                                                                   |         13 |        249 |          0 |         56 |        305 |
| modules\lists\hooks (Files)                                                                                                                                                           |          1 |         10 |          0 |          3 |         13 |
| modules\lists\hooks\updateMoviesList                                                                                                                                                  |          4 |        113 |          0 |         26 |        139 |
| modules\lists\hooks\updateMoviesList\useAddToMoviesList                                                                                                                               |          2 |         56 |          0 |         13 |         69 |
| modules\lists\hooks\updateMoviesList\useDeleteFromMoviesList                                                                                                                          |          2 |         57 |          0 |         13 |         70 |
| modules\lists\hooks\useCreateMoviesList                                                                                                                                               |          2 |         47 |          0 |          7 |         54 |
| modules\lists\hooks\useDeleteMoviesList                                                                                                                                               |          2 |         31 |          0 |          7 |         38 |
| modules\lists\hooks\useGetListsByUserId                                                                                                                                               |          2 |         23 |          0 |          6 |         29 |
| modules\lists\hooks\useGetSingleListByListId                                                                                                                                          |          2 |         25 |          0 |          7 |         32 |
| modules\moviePage                                                                                                                                                                     |         19 |        520 |          0 |         79 |        599 |
| modules\moviePage (Files)                                                                                                                                                             |          1 |        135 |          0 |         12 |        147 |
| modules\moviePage\BoxOffice                                                                                                                                                           |          1 |         37 |          0 |          4 |         41 |
| modules\moviePage\CreateReviewButton                                                                                                                                                  |          1 |         13 |          0 |          3 |         16 |
| modules\moviePage\FullCastContainer                                                                                                                                                   |          2 |         41 |          0 |          7 |         48 |
| modules\moviePage\FullCastContainer (Files)                                                                                                                                           |          1 |         23 |          0 |          4 |         27 |
| modules\moviePage\FullCastContainer\SingleCastBox                                                                                                                                     |          1 |         18 |          0 |          3 |         21 |
| modules\moviePage\GenreList                                                                                                                                                           |          2 |         28 |          0 |          8 |         36 |
| modules\moviePage\GenreList (Files)                                                                                                                                                   |          1 |         17 |          0 |          4 |         21 |
| modules\moviePage\GenreList\SingleGenreBox                                                                                                                                            |          1 |         11 |          0 |          4 |         15 |
| modules\moviePage\LatestReviews                                                                                                                                                       |          1 |         33 |          0 |          5 |         38 |
| modules\moviePage\MovieAwards                                                                                                                                                         |          2 |         34 |          0 |         10 |         44 |
| modules\moviePage\MovieAwards (Files)                                                                                                                                                 |          1 |         19 |          0 |          5 |         24 |
| modules\moviePage\MovieAwards\SingleMovieAward                                                                                                                                        |          1 |         15 |          0 |          5 |         20 |
| modules\moviePage\MovieDescription                                                                                                                                                    |          1 |         13 |          0 |          3 |         16 |
| modules\moviePage\MovieImage                                                                                                                                                          |          1 |         18 |          0 |          3 |         21 |
| modules\moviePage\MovieMainInfo                                                                                                                                                       |          1 |         40 |          0 |          4 |         44 |
| modules\moviePage\MoviePageSkeleton                                                                                                                                                   |          3 |         29 |          0 |          6 |         35 |
| modules\moviePage\MoviePageSkeleton (Files)                                                                                                                                           |          1 |         12 |          0 |          2 |         14 |
| modules\moviePage\MoviePageSkeleton\MovieImageSkeleton                                                                                                                                |          1 |          8 |          0 |          2 |         10 |
| modules\moviePage\MoviePageSkeleton\MovieInfoSkeleton                                                                                                                                 |          1 |          9 |          0 |          2 |         11 |
| modules\moviePage\MovieRatings                                                                                                                                                        |          1 |         43 |          0 |          3 |         46 |
| modules\moviePage\SimilarMovies                                                                                                                                                       |          2 |         56 |          0 |         11 |         67 |
| modules\moviePage\SimilarMovies (Files)                                                                                                                                               |          1 |         27 |          0 |          6 |         33 |
| modules\moviePage\SimilarMovies\SingleSimilarMovie                                                                                                                                    |          1 |         29 |          0 |          5 |         34 |
| modules\movies                                                                                                                                                                        |         14 |        267 |          0 |         50 |        317 |
| modules\movies\MoviesList                                                                                                                                                             |          1 |         32 |          0 |          4 |         36 |
| modules\movies\schemas                                                                                                                                                                |          3 |        104 |          0 |         12 |        116 |
| modules\movies\useGetAllPopularMovies                                                                                                                                                 |          2 |         21 |          0 |          7 |         28 |
| modules\movies\useGetAllPopularMovies (Files)                                                                                                                                         |          1 |         12 |          0 |          5 |         17 |
| modules\movies\useGetAllPopularMoviesIDPoster                                                                                                                                         |          2 |         28 |          0 |          6 |         34 |
| modules\movies\useGetAllPopularMoviesIDPoster (Files)                                                                                                                                 |          1 |         19 |          0 |          4 |         23 |
| modules\movies\useGetAllPopularMoviesIDPoster\hooks                                                                                                                                   |          1 |          9 |          0 |          2 |         11 |
| modules\movies\useGetAllPopularMovies\hooks                                                                                                                                           |          1 |          9 |          0 |          2 |         11 |
| modules\movies\useGetLimitedPopularMoviesIDPoster                                                                                                                                     |          2 |         29 |          0 |          8 |         37 |
| modules\movies\useGetMovieById                                                                                                                                                        |          2 |         22 |          0 |          6 |         28 |
| modules\movies\useGetMoviesByTitle                                                                                                                                                    |          2 |         31 |          0 |          7 |         38 |
| modules\navigation                                                                                                                                                                    |          2 |         37 |          0 |         11 |         48 |
| modules\navigation\hooks                                                                                                                                                              |          2 |         37 |          0 |         11 |         48 |
| modules\navigation\hooks\useQueryString                                                                                                                                               |          1 |         25 |          0 |          7 |         32 |
| modules\navigation\hooks\useRouteChanged                                                                                                                                              |          1 |         12 |          0 |          4 |         16 |
| modules\reviewCreatorPage                                                                                                                                                             |          3 |        123 |          0 |         14 |        137 |
| modules\reviewCreatorPage\RatingButton                                                                                                                                                |          1 |         24 |          0 |          4 |         28 |
| modules\reviewCreatorPage\ReviewCreator                                                                                                                                               |          2 |         99 |          0 |         10 |        109 |
| modules\reviewCreatorPage\ReviewCreator (Files)                                                                                                                                       |          1 |         90 |          0 |          8 |         98 |
| modules\reviewCreatorPage\ReviewCreator\ReviewCreatorSkeleton                                                                                                                         |          1 |          9 |          0 |          2 |         11 |
| modules\reviews                                                                                                                                                                       |         12 |        198 |          0 |         46 |        244 |
| modules\reviews\hooks                                                                                                                                                                 |         11 |        183 |          0 |         42 |        225 |
| modules\reviews\hooks (Files)                                                                                                                                                         |          1 |         10 |          0 |          3 |         13 |
| modules\reviews\hooks\useCreateMovieReview                                                                                                                                            |          2 |         63 |          0 |         10 |         73 |
| modules\reviews\hooks\useDeleteMovieReview                                                                                                                                            |          2 |         31 |          0 |          7 |         38 |
| modules\reviews\hooks\useGetLatestReviews                                                                                                                                             |          2 |         23 |          0 |          7 |         30 |
| modules\reviews\hooks\useGetMovieAppReviewInfo                                                                                                                                        |          2 |         31 |          0 |          9 |         40 |
| modules\reviews\hooks\useGetReviewsByUserId                                                                                                                                           |          2 |         25 |          0 |          6 |         31 |
| modules\reviews\utils                                                                                                                                                                 |          1 |         15 |          0 |          4 |         19 |
| modules\ui                                                                                                                                                                            |         11 |        311 |          0 |         46 |        357 |
| modules\ui\Button                                                                                                                                                                     |          3 |         89 |          0 |         15 |        104 |
| modules\ui\Button (Files)                                                                                                                                                             |          2 |         28 |          0 |          7 |         35 |
| modules\ui\Button\BaseButton                                                                                                                                                          |          1 |         61 |          0 |          8 |         69 |
| modules\ui\ErrorMessage                                                                                                                                                               |          1 |         15 |          0 |          3 |         18 |
| modules\ui\GoBackButton                                                                                                                                                               |          1 |         16 |          0 |          4 |         20 |
| modules\ui\Modal                                                                                                                                                                      |          2 |         78 |          0 |          7 |         85 |
| modules\ui\Modal (Files)                                                                                                                                                              |          1 |         61 |          0 |          4 |         65 |
| modules\ui\Modal\useDisclosure                                                                                                                                                        |          1 |         17 |          0 |          3 |         20 |
| modules\ui\ReviewPreview                                                                                                                                                              |          2 |         71 |          0 |          8 |         79 |
| modules\ui\ReviewPreview (Files)                                                                                                                                                      |          1 |         67 |          0 |          6 |         73 |
| modules\ui\ReviewPreview\ReviewPreviewSkeleton                                                                                                                                        |          1 |          4 |          0 |          2 |          6 |
| modules\ui\Text                                                                                                                                                                       |          1 |         26 |          0 |          7 |         33 |
| modules\ui\UnauthorizedBox                                                                                                                                                            |          1 |         16 |          0 |          2 |         18 |
| modules\users                                                                                                                                                                         |          8 |        131 |          0 |         26 |        157 |
| modules\users\hooks                                                                                                                                                                   |          7 |        123 |          0 |         24 |        147 |
| modules\users\hooks\useLogin                                                                                                                                                          |          2 |         37 |          0 |          7 |         44 |
| modules\users\hooks\useLogout                                                                                                                                                         |          2 |         27 |          0 |          6 |         33 |
| modules\users\hooks\useSignup                                                                                                                                                         |          2 |         51 |          0 |          9 |         60 |
| modules\users\hooks\useUser                                                                                                                                                           |          1 |          8 |          0 |          2 |         10 |
| modules\users\utils                                                                                                                                                                   |          1 |          8 |          0 |          2 |         10 |
| modules\users\utils\getCurrentUser                                                                                                                                                    |          1 |          8 |          0 |          2 |         10 |
| services                                                                                                                                                                              |          1 |          6 |          0 |          1 |          7 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                              | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\.eslintrc.json                                                                                                      | JSON with Comments |          3 |          0 |          1 |          4 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\.prettierrc.json                                                                                                    | JSON               |          8 |          0 |          1 |          9 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\README.md                                                                                                           | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\ReactQueryProvider.tsx                                                                                          | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\account\page.tsx                                                                                                | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\actor\[actorId]\page.tsx                                                                                        | TypeScript JSX     |         36 |          0 |          6 |         42 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\auth\callback\route.ts                                                                                          | TypeScript         |         41 |          0 |          5 |         46 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\globals.css                                                                                                     | CSS                |         23 |          1 |          4 |         28 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\layout.tsx                                                                                                      | TypeScript JSX     |         56 |          0 |          4 |         60 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\list\[listId]\page.tsx                                                                                          | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\login\page.tsx                                                                                                  | TypeScript JSX     |         18 |          0 |          2 |         20 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\movie\[movieId]\page.tsx                                                                                        | TypeScript JSX     |         22 |          0 |          3 |         25 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\movies\page.tsx                                                                                                 | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\myLists\page.tsx                                                                                                | TypeScript JSX     |         24 |          0 |          4 |         28 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\myReviews\page.tsx                                                                                              | TypeScript JSX     |         24 |          0 |          4 |         28 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\page.tsx                                                                                                        | TypeScript JSX     |         19 |          0 |          2 |         21 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\unauthenticated\page.tsx                                                                                        | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\middleware.ts                                                                                                       | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Footer\Footer.tsx                                                                                           | TypeScript JSX     |         30 |          0 |          2 |         32 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Header\Header.tsx                                                                                           | TypeScript JSX     |         29 |          0 |          3 |         32 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\HomepageBanner\HomepageBanner.tsx                                                                           | TypeScript JSX     |         35 |          0 |          2 |         37 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Navbar\Navbar.tsx                                                                                           | TypeScript JSX     |         48 |          0 |         11 |         59 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Search\SearchResultsPage\SearchResultsPage.tsx                                                              | TypeScript JSX     |         26 |          0 |          7 |         33 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Search\SearchResultsPage\SearchResultsPageEmptyQuery\SearchResultsPageEmptyQuery.tsx                        | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Search\SearchResultsPage\SearchResultsPageSkeleton\SearchResultsPageSkeleton.tsx                            | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Search\Searchbar\Searchbar.tsx                                                                              | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkList.tsx                                               | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkListSkeleton\PosterLinkListSkeleton.tsx                | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkListSkeleton\PosterLinkSkeleton\PosterLinkSkeleton.tsx | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLink\PosterLink.tsx                                        | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\TopMoviesHomepage.tsx                                                           | TypeScript JSX     |         31 |          0 |          4 |         35 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\Dashboard.tsx                                                                         | TypeScript JSX     |         35 |          0 |          4 |         39 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\MyLists\MyLists.tsx                                                                   | TypeScript JSX     |         75 |          0 |          7 |         82 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\MyLists\MyListsSkeleton\MyListsSkeleton.tsx                                           | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\MyReviews\MyReviews.tsx                                                               | TypeScript JSX     |         55 |          0 |          7 |         62 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\MyReviews\MyReviewsSkeleton\MyReviewsSkeleton.tsx                                     | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorImage\ActorImage.tsx                                                                         | TypeScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorKnownFor\ActorKnownFor.tsx                                                                   | TypeScript JSX     |         35 |          0 |          3 |         38 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorKnownFor\KnownForSingleMovie\KnownForSingleMovie.tsx                                         | TypeScript JSX     |         28 |          0 |          4 |         32 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorMainInfo\ActorDatesBox\ActorDatesBox.tsx                                                     | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorMainInfo\ActorMainInfo.tsx                                                                   | TypeScript JSX     |         36 |          0 |          3 |         39 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorPageSkeleton\ActorImageSkeleton\ActorImageSkeleton.tsx                                       | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorPageSkeleton\ActorInfoSkeleton\ActorInfoSkeleton.tsx                                         | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorPageSkeleton\ActorPageSkeleton.tsx                                                           | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actors\schemas\useGetActor.schema.ts                                                                        | TypeScript         |         31 |          0 |          3 |         34 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actors\useGetActorById\apiUseGetActorById.ts                                                                | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actors\useGetActorById\useGetActorById.ts                                                                   | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\Forms\FormRow\FormRow.tsx                                                                              | TypeScript JSX     |         18 |          0 |          3 |         21 |
